,AAPL,PETS,STMP,VZ,SO,T,FXY,FXB,FXF,VCLT
2016-08-19,103.93401336669922,17.845483779907227,87.72000122070312,44.833309173583984,44.490882873535156,33.82098388671875,96.5,127.80999755859375,99.81999969482422,83.1339111328125
2016-08-22,103.1261978149414,18.00585174560547,88.30000305175781,44.918792724609375,44.52513122558594,33.7385139465332,96.30999755859375,128.33999633789062,99.6500015258789,83.57567596435547
2016-08-23,103.4493179321289,18.014760971069336,93.2699966430664,44.98717498779297,44.27682113647461,33.68903350830078,96.4000015258789,128.9499969482422,99.51000213623047,83.74890899658203
2016-08-24,102.67000579833984,18.032583236694336,93.83000183105469,44.90169906616211,44.345314025878906,33.70552444458008,96.1500015258789,129.25,99.06999969482422,83.62763977050781
2016-08-25,102.23284149169922,18.068220138549805,94.5199966430664,45.089744567871094,44.40525436401367,33.87046432495117,96.06999969482422,128.85000610351562,98.9800033569336,83.35043334960938
2016-08-26,101.63407897949219,18.014760971069336,93.52999877929688,44.50849914550781,43.71168899536133,33.5488395690918,94.87999725341797,128.30999755859375,97.94000244140625,83.14257049560547
2016-08-29,101.52003479003906,18.148405075073242,95.05999755859375,44.87604904174805,43.96000289916992,33.8127326965332,94.81999969482422,128.05999755859375,97.94999694824219,83.86153411865234
2016-08-30,100.74073791503906,18.148405075073242,96.37000274658203,44.67945098876953,43.63462829589844,33.722015380859375,93.7699966430664,127.7699966430664,97.37000274658203,83.59298706054688
2016-08-31,100.83576202392578,17.9613094329834,96.72000122070312,44.730743408203125,43.951446533203125,33.713775634765625,93.3499984741211,128.30999755859375,97.4000015258789,83.54967498779297
2016-09-01,101.43450927734375,17.988035202026367,98.8499984741211,44.92734146118164,43.8230094909668,33.77973937988281,93.61000061035156,129.58999633789062,97.81999969482422,83.38455200195312
2016-09-02,102.38489532470703,18.157310485839844,99.61000061035156,45.200870513916016,44.35387420654297,33.771507263183594,92.86000061035156,129.89999389648438,97.69999694824219,83.18463897705078
2016-09-06,102.35636901855469,17.9523983001709,98.3499984741211,45.739383697509766,44.63644790649414,34.00241470336914,94.69999694824219,131.13999938964844,98.72000122070312,83.37583923339844
2016-09-07,102.98362731933594,18.192951202392578,97.4000015258789,45.910335540771484,44.71350860595703,34.035404205322266,94.94999694824219,130.3300018310547,98.77999877929688,83.42797088623047
2016-09-08,100.28453063964844,18.148405075073242,94.9800033569336,45.816307067871094,44.92757034301758,33.96943283081055,94.20999908447266,129.91000366210938,98.44000244140625,82.51541137695312
2016-09-09,98.01311492919922,17.907852172851562,92.47000122070312,44.294803619384766,43.55755615234375,32.748870849609375,94.05000305175781,129.64999389648438,98.18000030517578,81.3508071899414
2016-09-12,100.2085189819336,18.059307098388672,92.55999755859375,44.935890197753906,44.490882873535156,33.57358169555664,94.87999725341797,130.2899932861328,98.58000183105469,81.59413146972656
2016-09-13,102.59396362304688,18.059307098388672,92.9800033569336,43.97853088378906,43.891502380371094,32.96329879760742,94.06999969482422,128.91000366210938,97.94999694824219,80.95098876953125
2016-09-14,106.22444915771484,18.255313873291016,90.2300033569336,44.01272201538086,43.96856689453125,32.897315979003906,94.30000305175781,129.32000732421875,98.3499984741211,80.98575592041016
2016-09-15,109.83589935302734,18.388957977294922,87.73999786376953,44.43156814575195,44.06275177001953,33.359153747558594,94.55000305175781,129.39999389648438,98.54000091552734,80.92491149902344
2016-09-16,109.21815490722656,18.282045364379883,87.79000091552734,44.34609603881836,44.49944305419922,33.152976989746094,94.41999816894531,127.08999633789062,97.62999725341797,81.3768539428711
2016-09-19,107.94464111328125,18.10385513305664,89.05999755859375,43.76483917236328,44.893314361572266,33.03752517700195,94.8499984741211,127.3499984741211,97.75,81.26383209228516
